melspectrogram_images\0.png,0,dataset\Actor_01\03-01-01-01-01-01-01
melspectrogram_images\1.png,0,dataset\Actor_01\03-01-01-01-01-02-01
melspectrogram_images\2.png,0,dataset\Actor_01\03-01-01-01-02-01-01
melspectrogram_images\3.png,0,dataset\Actor_01\03-01-01-01-02-02-01
melspectrogram_images\4.png,1,dataset\Actor_01\03-01-02-01-01-01-01
melspectrogram_images\5.png,1,dataset\Actor_01\03-01-02-01-01-02-01
melspectrogram_images\6.png,1,dataset\Actor_01\03-01-02-01-02-01-01
melspectrogram_images\7.png,1,dataset\Actor_01\03-01-02-01-02-02-01
melspectrogram_images\8.png,1,dataset\Actor_01\03-01-02-02-01-01-01
melspectrogram_images\9.png,1,dataset\Actor_01\03-01-02-02-01-02-01
melspectrogram_images\10.png,1,dataset\Actor_01\03-01-02-02-02-01-01
melspectrogram_images\11.png,1,dataset\Actor_01\03-01-02-02-02-02-01
melspectrogram_images\12.png,2,dataset\Actor_01\03-01-03-01-01-01-01
melspectrogram_images\13.png,2,dataset\Actor_01\03-01-03-01-01-02-01
melspectrogram_images\14.png,2,dataset\Actor_01\03-01-03-01-02-01-01
melspectrogram_images\15.png,2,dataset\Actor_01\03-01-03-01-02-02-01
melspectrogram_images\16.png,2,dataset\Actor_01\03-01-03-02-01-01-01
melspectrogram_images\17.png,2,dataset\Actor_01\03-01-03-02-01-02-01
melspectrogram_images\18.png,2,dataset\Actor_01\03-01-03-02-02-01-01
melspectrogram_images\19.png,2,dataset\Actor_01\03-01-03-02-02-02-01
melspectrogram_images\20.png,3,dataset\Actor_01\03-01-04-01-01-01-01
melspectrogram_images\21.png,3,dataset\Actor_01\03-01-04-01-01-02-01
melspectrogram_images\22.png,3,dataset\Actor_01\03-01-04-01-02-01-01
melspectrogram_images\23.png,3,dataset\Actor_01\03-01-04-01-02-02-01
melspectrogram_images\24.png,3,dataset\Actor_01\03-01-04-02-01-01-01
melspectrogram_images\25.png,3,dataset\Actor_01\03-01-04-02-01-02-01
melspectrogram_images\26.png,3,dataset\Actor_01\03-01-04-02-02-01-01
melspectrogram_images\27.png,3,dataset\Actor_01\03-01-04-02-02-02-01
melspectrogram_images\28.png,4,dataset\Actor_01\03-01-05-01-01-01-01
melspectrogram_images\29.png,4,dataset\Actor_01\03-01-05-01-01-02-01
melspectrogram_images\30.png,4,dataset\Actor_01\03-01-05-01-02-01-01
melspectrogram_images\31.png,4,dataset\Actor_01\03-01-05-01-02-02-01
melspectrogram_images\32.png,4,dataset\Actor_01\03-01-05-02-01-01-01
melspectrogram_images\33.png,4,dataset\Actor_01\03-01-05-02-01-02-01
melspectrogram_images\34.png,4,dataset\Actor_01\03-01-05-02-02-01-01
melspectrogram_images\35.png,4,dataset\Actor_01\03-01-05-02-02-02-01
melspectrogram_images\36.png,5,dataset\Actor_01\03-01-06-01-01-01-01
melspectrogram_images\37.png,5,dataset\Actor_01\03-01-06-01-01-02-01
melspectrogram_images\38.png,5,dataset\Actor_01\03-01-06-01-02-01-01
melspectrogram_images\39.png,5,dataset\Actor_01\03-01-06-01-02-02-01
melspectrogram_images\40.png,5,dataset\Actor_01\03-01-06-02-01-01-01
melspectrogram_images\41.png,5,dataset\Actor_01\03-01-06-02-01-02-01
melspectrogram_images\42.png,5,dataset\Actor_01\03-01-06-02-02-01-01
melspectrogram_images\43.png,5,dataset\Actor_01\03-01-06-02-02-02-01
melspectrogram_images\44.png,6,dataset\Actor_01\03-01-07-01-01-01-01
melspectrogram_images\45.png,6,dataset\Actor_01\03-01-07-01-01-02-01
melspectrogram_images\46.png,6,dataset\Actor_01\03-01-07-01-02-01-01
melspectrogram_images\47.png,6,dataset\Actor_01\03-01-07-01-02-02-01
melspectrogram_images\48.png,6,dataset\Actor_01\03-01-07-02-01-01-01
melspectrogram_images\49.png,6,dataset\Actor_01\03-01-07-02-01-02-01
melspectrogram_images\50.png,6,dataset\Actor_01\03-01-07-02-02-01-01
melspectrogram_images\51.png,6,dataset\Actor_01\03-01-07-02-02-02-01
melspectrogram_images\52.png,7,dataset\Actor_01\03-01-08-01-01-01-01
melspectrogram_images\53.png,7,dataset\Actor_01\03-01-08-01-01-02-01
melspectrogram_images\54.png,7,dataset\Actor_01\03-01-08-01-02-01-01
melspectrogram_images\55.png,7,dataset\Actor_01\03-01-08-01-02-02-01
melspectrogram_images\56.png,7,dataset\Actor_01\03-01-08-02-01-01-01
melspectrogram_images\57.png,7,dataset\Actor_01\03-01-08-02-01-02-01
melspectrogram_images\58.png,7,dataset\Actor_01\03-01-08-02-02-01-01
melspectrogram_images\59.png,7,dataset\Actor_01\03-01-08-02-02-02-01
melspectrogram_images\60.png,0,dataset\Actor_02\03-01-01-01-01-01-02
melspectrogram_images\61.png,0,dataset\Actor_02\03-01-01-01-01-02-02
melspectrogram_images\62.png,0,dataset\Actor_02\03-01-01-01-02-01-02
melspectrogram_images\63.png,0,dataset\Actor_02\03-01-01-01-02-02-02
melspectrogram_images\64.png,1,dataset\Actor_02\03-01-02-01-01-01-02
melspectrogram_images\65.png,1,dataset\Actor_02\03-01-02-01-01-02-02
melspectrogram_images\66.png,1,dataset\Actor_02\03-01-02-01-02-01-02
melspectrogram_images\67.png,1,dataset\Actor_02\03-01-02-01-02-02-02
melspectrogram_images\68.png,1,dataset\Actor_02\03-01-02-02-01-01-02
melspectrogram_images\69.png,1,dataset\Actor_02\03-01-02-02-01-02-02
melspectrogram_images\70.png,1,dataset\Actor_02\03-01-02-02-02-01-02
melspectrogram_images\71.png,1,dataset\Actor_02\03-01-02-02-02-02-02
melspectrogram_images\72.png,2,dataset\Actor_02\03-01-03-01-01-01-02
melspectrogram_images\73.png,2,dataset\Actor_02\03-01-03-01-01-02-02
melspectrogram_images\74.png,2,dataset\Actor_02\03-01-03-01-02-01-02
melspectrogram_images\75.png,2,dataset\Actor_02\03-01-03-01-02-02-02
melspectrogram_images\76.png,2,dataset\Actor_02\03-01-03-02-01-01-02
melspectrogram_images\77.png,2,dataset\Actor_02\03-01-03-02-01-02-02
t\Actor_02\03-01-02-01-02-01-02
dataset\Actor_02\03-01-02-01-02-02-02.wav,1,dataset\Actor_02\03-01-02-01-02-02-02
dataset\Actor_02\03-01-02-02-01-01-02.wav,1,dataset\Actor_02\03-01-02-02-01-01-02
dataset\Actor_02\03-01-02-02-01-02-02.wav,1,dataset\Actor_02\03-01-02-02-01-02-02
dataset\Actor_02\03-01-02-02-02-01-02.wav,1,dataset\Actor_02\03-01-02-02-02-01-02
dataset\Actor_02\03-01-02-02-02-02-02.wav,1,dataset\Actor_02\03-01-02-02-02-02-02
dataset\Actor_02\03-01-03-01-01-01-02.wav,2,dataset\Actor_02\03-01-03-01-01-01-02
dataset\Actor_02\03-01-03-01-01-02-02.wav,2,dataset\Actor_02\03-01-03-01-01-02-02
